iter	RMSE
0	15.4371382
1	15.17204579
2	14.89536275
3	14.62193192
4	14.36178694
5	14.16428213
6	13.95740723
7	13.75852702
8	13.54714403
9	13.30993157
10	13.06607261
11	12.87239618
12	12.67696509
13	12.4725463
14	12.27484956
15	12.08511956
16	11.87430476
17	11.69733086
18	11.50442713
19	11.34563359
20	11.20087775
21	11.0547108
22	10.89885287
23	10.74474091
24	10.56322287
25	10.42543553
26	10.28188905
27	10.11999163
28	9.96492139
29	9.83217663
30	9.710741405
31	9.576995269
32	9.459182605
33	9.32407556
34	9.185907805
35	9.077986083
36	8.952400609
37	8.862560416
38	8.747637891
39	8.6341377
40	8.537846472
41	8.463878517
42	8.36239158
43	8.278226478
44	8.192465082
45	8.111607697
46	8.02369089
47	7.941912707
48	7.863902769
49	7.783269516
50	7.708516793
51	7.627387868
52	7.556921246
53	7.492422796
54	7.412794143
55	7.351550204
56	7.293156928
57	7.229818538
58	7.169804054
59	7.116063896
60	7.055481445
61	7.004539203
62	6.945060223
63	6.881046511
64	6.823989581
65	6.776403291
66	6.72025943
67	6.663963509
68	6.619623503
69	6.571215103
70	6.525634809
71	6.483515809
72	6.438944324
73	6.393081954
74	6.35483138
75	6.324216926
76	6.289686304
77	6.249366765
78	6.210817293
79	6.16842669
80	6.133944126
81	6.100972135
82	6.071331212
83	6.039129744
84	6.006064692
85	5.969153048
86	5.943560127
87	5.912629876
88	5.880810391
89	5.84100985
90	5.808972691
91	5.776517129
92	5.746346287
93	5.718757229
94	5.6967252
95	5.670016138
96	5.636888433
97	5.606519212
98	5.583298565
99	5.559468736
100	5.537505821
101	5.511295102
102	5.489850796
103	5.465458698
104	5.449236697
105	5.42396773
106	5.400594738
107	5.381612653
108	5.367570804
109	5.344964841
110	5.32388344
111	5.301082825
112	5.279573787
113	5.259346331
114	5.254005982
115	5.244256115
116	5.230026757
117	5.206274054
118	5.194054451
119	5.174434952
120	5.158814036
121	5.147842718
122	5.13485555
123	5.119793063
124	5.106924063
125	5.089930942
126	5.076949794
127	5.065817267
128	5.048934477
129	5.03679447
130	5.024504393
131	5.009880921
132	4.99767206
133	4.98499246
134	4.974887904
135	4.963964856
136	4.950118578
137	4.930889163
138	4.92324683
139	4.913532262
140	4.901812889
141	4.888061402
142	4.884246405
143	4.870255121
144	4.859916256
145	4.854328432
146	4.844462604
147	4.831363704
148	4.821045488
149	4.816843614
150	4.801537871
151	4.786825387
152	4.778710911
153	4.764386398
154	4.756454559
155	4.74321786
156	4.729071083
157	4.711779802
158	4.705397147
159	4.694844624
160	4.690089976
161	4.681834135
162	4.673856304
163	4.668854493
164	4.659811741
165	4.651304936
166	4.640669708
167	4.62987421
168	4.627968782
169	4.612491342
170	4.602697209
171	4.591495365
172	4.581352358
173	4.570514607
174	4.561742281
175	4.551750835
176	4.53632213
177	4.53028276
178	4.516203813
179	4.507548554
180	4.499559028
181	4.488688319
182	4.484133692
183	4.475112379
184	4.466149373
185	4.464431648
186	4.457479042
187	4.455143164
188	4.453411397
189	4.446639482
190	4.440204069
191	4.433279615
192	4.422901628
193	4.418270941
194	4.414196556
195	4.405995836
196	4.397421042
197	4.38869125
198	4.380654764
199	4.367093666
200	4.363703666
201	4.355141777
202	4.348221605
203	4.343548835
204	4.335268016
205	4.32644744
206	4.323974004
207	4.316140729
208	4.311073507
209	4.307268338
210	4.298374957
211	4.294234579
212	4.286247618
213	4.279296429
214	4.274838703
215	4.271388456
216	4.266630779
217	4.265365964
218	4.257135555
219	4.254052743
220	4.250671198
221	4.246408303
222	4.242965869
223	4.23694053
224	4.230560698
225	4.228291492
226	4.224192559
227	4.222112288
228	4.220194813
229	4.216545209
230	4.207458696
231	4.199745537
232	4.189743663
233	4.186761417
234	4.17782021
235	4.174694074
236	4.17113503
237	4.161385047
238	4.160108742
239	4.15882679
240	4.153928305
241	4.150585103
242	4.143012079
243	4.139435967
244	4.131458111
245	4.129529317
246	4.121234875
247	4.117486556
248	4.116063625
249	4.10842964
250	4.1018333
251	4.100599294
252	4.093452692
253	4.091729462
254	4.090510501
255	4.085012251
256	4.084150578
257	4.083307259
258	4.082117338
259	4.080384932
260	4.07314508
261	4.071453106
262	4.070558409
263	4.069788536
264	4.067562906
265	4.064880346
266	4.057019031
267	4.055670616
268	4.05329834
269	4.051970127
270	4.048437329
271	4.041854738
272	4.036973272
273	4.036012969
274	4.027595106
275	4.019643856
276	4.01067904
277	4.002398277
278	3.99396633
279	3.98831166
280	3.980370696
281	3.97927766
282	3.97733189
283	3.972773318
284	3.968975952
285	3.968343316
286	3.960102906
287	3.950650936
288	3.946768946
289	3.944781088
290	3.936865336
291	3.927798687
292	3.918344472
293	3.914196013
294	3.912071975
295	3.911080738
296	3.905474937
297	3.899260932
298	3.892601056
299	3.889021815
300	3.888329875
301	3.88777666
302	3.880969335
303	3.874770633
304	3.872423489
305	3.871647853
306	3.865138069
307	3.857175068
308	3.846844516
309	3.84590776
310	3.844898768
311	3.838577533
312	3.837839371
313	3.831190974
314	3.825278777
315	3.818455852
316	3.809112557
317	3.806055759
318	3.797209138
319	3.794236103
320	3.79179175
321	3.782381275
322	3.775411611
323	3.768336054
324	3.766753121
325	3.758364297
326	3.754969364
327	3.746422075
328	3.737907927
329	3.737480458
330	3.733508951
331	3.726328889
332	3.725778479
333	3.718040704
334	3.714111022
335	3.711533938
336	3.702070543
337	3.697109679
338	3.69657739
339	3.691176444
340	3.68152732
341	3.675494598
342	3.672265558
343	3.664765737
344	3.662523267
345	3.662270131
346	3.657170063
347	3.652289426
348	3.649778771
349	3.642328229
350	3.641162338
351	3.639165058
352	3.636938512
353	3.628891262
354	3.628339057
355	3.625933271
356	3.621369102
357	3.619897251
358	3.610011068
359	3.60320951
360	3.600918143
361	3.598236558
362	3.595144597
363	3.587876658
364	3.582022292
365	3.574916591
366	3.567627839
367	3.565147865
368	3.563360234
369	3.558754561
370	3.55831286
371	3.553941543
372	3.5479041
373	3.540826352
374	3.535339999
375	3.533292097
376	3.53126439
377	3.527434976
378	3.523194154
379	3.515306412
380	3.51400294
381	3.505297762
382	3.495416045
383	3.490591096
384	3.487620166
385	3.48509797
386	3.479694928
387	3.478441074
388	3.476715832
389	3.47087598
390	3.469961437
391	3.460949014
392	3.459277235
393	3.453891344
394	3.446958847
395	3.440545231
396	3.432775369
397	3.431277929
398	3.428959675
399	3.427441264
400	3.424625557
401	3.413471172
402	3.407491341
403	3.407249009
404	3.406021167
405	3.399240975
406	3.390447321
407	3.389043021
408	3.381313973
409	3.374760292
410	3.367741668
411	3.366120564
412	3.358748048
413	3.358285372
414	3.356942088
415	3.349735716
416	3.34257422
417	3.332070525
418	3.327031703
419	3.324239466
420	3.319721622
421	3.317287116
422	3.31469306
423	3.311080796
424	3.309366402
425	3.303339958
426	3.296679353
427	3.295532461
428	3.287626102
429	3.285267908
430	3.283135692
431	3.278613363
432	3.274281069
433	3.269791064
434	3.269473805
435	3.26192685
436	3.25547335
437	3.255256828
438	3.254228406
439	3.250143224
440	3.245759185
441	3.244925825
442	3.239996934
443	3.237924829
444	3.236725435
445	3.229975139
446	3.226293862
447	3.222833314
448	3.214484261
449	3.204828917
450	3.197479565
451	3.192966897
452	3.185768733
453	3.18491251
454	3.178705045
455	3.169856195
456	3.169029999
457	3.16442956
458	3.16119325
459	3.156371867
460	3.150338316
461	3.144529818
462	3.140149787
463	3.136992968
464	3.134544766
465	3.129637548
466	3.120451117
467	3.113408843
468	3.109464934
469	3.108666821
470	3.107497553
471	3.100860367
472	3.09032045
473	3.080240703
474	3.078226932
475	3.072616276
476	3.071450792
477	3.067085973
478	3.062059727
479	3.06080234
480	3.055214052
481	3.049710946
482	3.043254161
483	3.041766366
484	3.036781535
485	3.031427082
486	3.023540005
487	3.020446432
488	3.018960454
489	3.01139623
490	3.011176208
491	3.010331391
492	3.00392035
493	3.003338524
494	2.999645785
495	2.992337627
496	2.989830274
497	2.984457566
498	2.978918662
499	2.971651585
500	2.965981817
501	2.963439753
502	2.959130121
503	2.953804228
504	2.945491752
505	2.9420089
506	2.934420068
507	2.930982263
508	2.929374384
509	2.922377135
510	2.920767045
511	2.920055227
512	2.913275068
513	2.910985246
514	2.910804485
515	2.908952255
516	2.907029815
517	2.905274241
518	2.898589386
519	2.892044769
520	2.885121296
521	2.884454197
522	2.880288577
523	2.877844358
524	2.874274615
525	2.867175759
526	2.862505712
527	2.855752163
528	2.850949909
529	2.847736504
530	2.841621839
531	2.84103452
532	2.84040935
533	2.839205901
534	2.833449917
535	2.825906916
536	2.819440461
537	2.81841733
538	2.816536207
539	2.815392171
540	2.814079343
541	2.813002051
542	2.805531735
543	2.798869259
544	2.79510237
545	2.791813587
546	2.790003534
547	2.787506886
548	2.787086295
549	2.781993794
550	2.774755657
551	2.768617276
552	2.767729903
553	2.766860245
554	2.763896816
555	2.762987581
556	2.762368697
557	2.759821891
558	2.754292545
559	2.748651724
560	2.744145632
561	2.739479429
562	2.73851641
563	2.737520617
564	2.733850719
565	2.729004779
566	2.727509686
567	2.722781936
568	2.717722684
569	2.713418242
570	2.712485205
571	2.708681318
572	2.705505277
573	2.704312361
574	2.702763798
575	2.696881675
576	2.696304418
577	2.692635082
578	2.691784482
579	2.691445492
580	2.690192726
581	2.684920687
582	2.683947434
583	2.680339886
584	2.67913652
585	2.675336761
586	2.674749334
587	2.673808914
588	2.66965322
589	2.664216133
590	2.659459479
591	2.658383801
592	2.658064785
593	2.653130577
594	2.649829238
595	2.648261738
596	2.644643517
597	2.641007698
598	2.64062254
599	2.63612148
600	2.630987042
601	2.629415671
602	2.625588365
603	2.6207705
604	2.617062593
605	2.612498221
606	2.611990219
607	2.604425283
608	2.600194238
609	2.598782335
610	2.598634013
611	2.593944048
612	2.59279299
613	2.587848185
614	2.587346199
615	2.582445462
616	2.578166915
617	2.574629045
618	2.572391893
619	2.569328595
620	2.56498654
621	2.560297629
622	2.559612764
623	2.555768213
624	2.553825981
625	2.54642216
626	2.545309794
627	2.541916509
628	2.53504932
629	2.529984915
630	2.526105508
631	2.521892056
632	2.518136379
633	2.513521713
634	2.512382392
635	2.50825285
636	2.503718699
637	2.503494521
638	2.500678131
639	2.497746884
640	2.49310078
641	2.485690253
642	2.481272532
643	2.476958492
644	2.475429323
645	2.472685761
646	2.469699716
647	2.469282878
648	2.466506377
649	2.463497194
650	2.459232795
651	2.454871662
652	2.451076866
653	2.447457461
654	2.443976588
655	2.439851198
656	2.437325906
657	2.432750541
658	2.428590591
659	2.426925561
660	2.426638943
661	2.418910246
662	2.416430815
663	2.412087831
664	2.407443575
665	2.401564732
666	2.400995668
667	2.39848368
668	2.39826638
669	2.395799598
670	2.394948243
671	2.391683611
672	2.388095456
673	2.387487345
674	2.385760271
675	2.381306581
676	2.374236337
677	2.371743683
678	2.371118264
679	2.37037418
680	2.367733647
681	2.36531023
682	2.360030712
683	2.356802078
684	2.354008671
685	2.35308047
686	2.349313603
687	2.348323858
688	2.345602527
689	2.341819011
690	2.339379976
691	2.33667523
692	2.335801345
693	2.33226958
694	2.32974976
695	2.325696077
696	2.325268217
697	2.320817187
698	2.319662998
699	2.314348018
700	2.312733222
701	2.308912595
702	2.307148239
703	2.300056616
704	2.298816391
705	2.295958942
