iter	Passed	Remaining
0	48	48094
1	49	24540
2	49	16612
3	52	13128
4	53	10641
5	54	8987
6	54	7799
7	55	6917
8	56	6247
9	57	5692
10	58	5230
11	58	4849
12	59	4522
13	60	4242
14	60	4001
15	61	3786
16	62	3599
17	62	3433
18	63	3286
19	64	3157
20	65	3044
21	66	2937
22	66	2839
23	67	2752
24	68	2667
25	69	2586
26	69	2509
27	70	2438
28	70	2374
29	71	2313
30	72	2255
31	72	2201
32	73	2151
33	74	2104
34	74	2060
35	75	2018
36	76	1979
37	76	1941
38	77	1904
39	77	1869
40	78	1837
41	79	1807
42	79	1779
43	80	1755
44	81	1729
45	82	1705
46	82	1680
47	83	1657
48	84	1636
49	84	1614
50	85	1592
51	86	1570
52	86	1552
53	87	1532
54	88	1514
55	88	1495
56	89	1479
57	89	1460
58	90	1443
59	91	1426
60	91	1410
61	92	1394
62	92	1379
63	93	1363
64	93	1349
65	94	1334
66	94	1319
67	95	1304
68	95	1290
69	96	1275
70	96	1262
71	96	1248
72	97	1235
73	97	1223
74	98	1210
75	98	1198
76	99	1187
77	99	1176
78	100	1166
79	100	1155
80	100	1143
81	101	1132
82	101	1121
83	101	1110
84	102	1100
85	102	1089
86	102	1079
87	103	1070
88	103	1060
89	103	1051
90	104	1042
91	104	1033
92	105	1025
93	105	1016
94	105	1007
95	106	999
96	106	992
97	106	984
98	107	975
99	107	967
100	107	959
101	108	951
102	108	942
103	108	934
104	108	927
105	109	919
106	109	912
107	109	905
108	109	898
109	110	891
110	110	884
111	110	878
112	111	871
113	111	865
114	111	858
115	111	852
116	112	846
117	112	840
118	112	834
119	113	828
120	113	822
121	113	816
122	113	810
123	113	805
124	114	799
125	114	793
126	114	788
127	114	782
128	115	777
129	115	771
130	115	766
131	115	761
132	116	756
133	116	751
134	116	746
135	116	740
136	116	736
137	117	731
138	117	726
139	117	721
140	117	716
141	117	712
142	118	707
143	118	702
144	118	698
145	118	694
146	118	689
147	119	685
148	119	681
149	119	676
150	119	672
151	119	668
152	120	664
153	120	660
154	120	656
155	120	652
156	120	649
157	121	645
158	121	641
159	121	638
160	121	634
161	121	630
162	122	627
163	122	623
164	122	619
165	122	616
166	122	613
167	123	609
168	123	606
169	123	602
170	123	599
171	123	596
172	124	593
173	124	590
174	124	587
175	124	584
176	125	581
177	125	578
178	125	575
179	125	572
180	125	569
181	126	566
182	126	563
183	126	561
184	126	558
185	126	555
186	127	552
187	127	549
188	127	546
189	127	543
190	127	541
191	128	538
192	128	536
193	128	533
194	128	531
195	128	528
196	129	526
197	129	523
198	129	521
199	129	519
200	130	516
201	130	514
202	130	512
203	130	509
204	130	507
205	131	505
206	131	503
207	131	500
208	131	498
209	131	496
210	132	494
211	132	492
212	132	490
213	132	487
214	133	485
215	133	483
216	133	481
217	133	479
218	133	477
219	134	475
220	134	473
221	134	471
222	134	469
223	134	467
224	135	465
225	135	463
226	135	461
227	135	459
228	135	457
229	136	455
230	136	454
231	136	452
232	136	450
233	137	448
234	137	446
235	137	445
236	137	443
237	137	441
238	138	439
239	138	438
240	138	436
241	138	434
242	138	432
243	139	431
244	139	429
245	139	428
246	139	426
247	140	424
248	140	423
249	140	421
250	140	419
251	140	418
252	141	416
253	141	415
254	141	413
255	141	412
256	142	410
257	142	409
258	142	407
259	142	406
260	142	404
261	143	402
262	143	401
263	143	400
264	143	398
265	143	397
266	144	395
267	144	394
268	144	392
269	144	391
270	144	389
271	145	388
272	145	387
273	145	385
274	145	384
275	146	383
276	146	381
277	146	380
278	146	379
279	146	377
280	147	376
281	147	375
282	147	373
283	147	372
284	148	371
285	148	370
286	148	368
287	148	367
288	148	366
289	149	365
290	149	363
291	149	362
292	149	361
293	149	360
294	150	358
295	150	357
296	150	356
297	150	355
298	151	354
299	151	353
300	151	351
301	151	350
302	151	349
303	152	348
304	152	347
305	152	346
306	152	344
307	153	343
308	153	342
309	153	341
310	153	340
311	153	339
312	154	338
313	154	337
314	154	336
315	154	334
316	154	333
317	155	332
318	155	331
319	155	330
320	155	329
321	156	328
322	156	327
323	156	326
324	156	325
325	156	324
326	157	323
327	157	322
328	157	321
329	157	320
330	157	319
331	158	318
332	158	317
333	158	316
334	158	315
335	159	314
336	159	313
337	159	312
338	159	311
339	159	310
340	160	309
341	160	308
342	160	307
343	160	306
344	160	305
345	161	304
346	161	303
347	161	302
348	161	301
349	161	300
350	162	299
351	162	298
352	163	298
353	163	297
354	163	296
355	163	296
356	163	295
357	164	294
358	164	293
359	164	292
360	164	291
361	164	290
362	165	289
363	165	288
364	165	288
365	165	287
366	165	286
367	166	285
368	166	284
369	166	283
370	166	282
371	167	282
372	167	281
373	167	280
374	167	279
375	167	278
376	168	277
377	168	277
378	168	276
379	168	275
380	168	274
381	169	273
382	169	272
383	169	272
384	169	271
385	170	270
386	170	269
387	170	268
388	170	268
389	170	267
390	171	266
391	171	265
392	171	264
393	171	264
394	171	263
395	172	262
396	172	261
397	172	261
398	172	260
399	172	259
400	173	258
401	173	257
402	173	257
403	173	256
404	174	255
405	174	254
406	174	254
407	174	253
408	174	252
409	175	251
410	175	251
411	175	250
412	175	249
413	175	249
414	176	248
415	176	247
416	176	246
417	176	246
418	176	245
419	177	244
420	177	243
421	177	243
422	177	242
423	178	241
424	178	241
425	178	240
426	178	239
427	178	239
428	179	238
429	179	237
430	179	237
431	179	236
432	179	235
433	180	234
434	180	234
435	180	233
436	180	232
437	180	232
438	181	231
439	181	230
440	181	230
441	181	229
442	182	228
443	182	228
444	182	227
445	182	226
446	182	226
447	183	225
448	183	224
449	183	224
450	183	223
451	183	223
452	184	222
453	184	221
454	184	221
455	184	220
456	185	219
457	185	219
458	185	218
459	185	217
460	185	217
461	185	216
462	186	215
463	186	215
464	186	214
465	186	214
466	187	213
467	187	212
468	187	212
469	187	211
470	187	211
471	188	210
472	188	209
473	188	209
474	188	208
475	188	207
476	189	207
477	189	206
478	189	206
479	189	205
480	190	205
481	190	204
482	190	204
483	190	203
484	191	202
485	191	202
486	191	201
487	191	201
488	191	200
489	192	199
490	192	199
491	192	198
492	192	198
493	192	197
494	193	197
495	193	196
496	193	195
497	193	195
498	194	194
499	194	194
500	194	193
501	194	193
502	194	192
503	195	192
504	195	191
505	195	190
506	195	190
507	195	189
508	196	189
509	196	188
510	196	188
511	196	187
512	197	187
513	197	186
514	197	186
515	197	185
516	198	185
517	198	184
518	198	184
519	198	183
520	198	182
521	199	182
522	199	181
523	199	181
524	199	180
525	200	180
526	200	179
527	200	179
528	200	178
529	200	178
530	201	177
531	201	177
532	201	176
533	201	176
534	202	175
535	202	175
536	202	174
537	202	174
538	202	173
539	203	172
540	203	172
541	203	171
542	203	171
543	203	170
544	204	170
545	204	169
546	204	169
547	204	168
548	205	168
549	205	167
550	205	167
551	205	166
552	205	166
553	206	165
554	206	165
555	206	164
556	206	164
557	206	163
558	207	163
559	207	163
560	207	162
561	207	162
562	208	161
563	208	161
564	208	160
565	208	160
566	208	159
567	209	159
568	209	158
569	209	158
570	210	157
571	210	157
572	210	156
573	210	156
574	211	155
575	211	155
576	211	155
577	211	154
578	211	154
579	212	153
580	212	153
581	212	152
582	212	152
583	212	151
584	213	151
585	213	150
586	213	150
587	213	149
588	214	149
589	214	148
590	214	148
591	215	148
592	215	147
593	215	147
594	216	147
595	216	146
596	216	146
597	216	145
598	216	145
599	217	144
600	217	144
601	217	143
602	217	143
603	218	142
604	218	142
605	218	142
606	218	141
607	218	141
608	219	140
609	219	140
610	219	139
611	220	139
612	220	139
613	220	138
614	221	138
615	221	138
616	221	137
617	222	137
618	222	136
619	222	136
620	222	135
621	222	135
622	223	135
623	223	134
624	223	134
625	223	133
626	224	133
627	224	132
628	224	132
629	224	131
630	224	131
631	225	131
632	225	130
633	225	130
634	225	129
635	226	129
636	226	128
637	226	128
638	226	128
639	226	127
640	227	127
641	227	126
642	227	126
643	227	125
644	227	125
645	228	125
646	228	124
647	228	124
648	228	123
649	228	123
650	229	122
651	229	122
652	229	122
653	229	121
654	230	121
655	230	120
656	230	120
657	230	119
658	230	119
659	231	119
660	231	118
661	231	118
662	231	117
663	231	117
664	232	116
665	232	116
666	232	116
667	232	115
668	232	115
669	233	114
670	233	114
671	233	113
672	233	113
673	233	113
674	234	112
675	234	112
676	234	112
677	235	111
678	235	111
679	235	110
680	235	110
681	236	110
682	236	109
683	236	109
684	236	108
685	236	108
686	237	108
687	237	107
688	237	107
689	237	106
690	238	106
691	238	106
692	238	105
693	238	105
694	239	104
695	239	104
696	239	104
697	240	103
698	240	103
699	240	103
700	240	102
701	240	102
702	241	101
703	241	101
704	241	101
705	241	100
706	242	100
707	242	99
708	242	99
709	242	99
710	242	98
711	243	98
712	243	97
713	243	97
714	243	97
715	243	96
716	244	96
717	244	95
718	244	95
719	244	95
720	245	94
721	245	94
722	245	94
723	245	93
724	246	93
725	246	92
726	246	92
727	246	92
728	246	91
729	247	91
730	247	90
731	247	90
732	247	90
733	247	89
734	248	89
735	248	89
736	248	88
737	248	88
738	248	87
739	249	87
740	249	87
741	249	86
742	250	86
743	250	86
744	250	85
745	250	85
746	250	84
747	251	84
748	251	84
749	251	83
750	251	83
751	251	83
752	252	82
753	252	82
754	252	81
755	252	81
756	253	81
757	253	81
758	253	80
759	254	80
760	254	79
761	254	79
762	254	79
763	255	78
764	255	78
765	255	78
766	255	77
767	256	77
768	256	77
769	256	76
770	256	76
771	257	75
772	257	75
773	257	75
774	257	74
775	257	74
776	258	74
777	258	73
778	258	73
779	258	72
780	258	72
781	259	72
782	259	71
783	259	71
784	259	71
785	259	70
786	260	70
787	260	70
788	260	69
789	260	69
790	261	69
791	261	68
792	261	68
793	261	67
794	262	67
795	262	67
796	262	66
797	262	66
798	262	66
799	263	65
800	263	65
801	263	65
802	263	64
803	263	64
804	264	63
805	264	63
806	264	63
807	264	62
808	264	62
809	265	62
810	265	61
811	265	61
812	265	61
813	266	60
814	266	60
815	266	60
816	266	59
817	266	59
818	267	59
819	267	58
820	267	58
821	268	58
822	268	57
823	268	57
824	269	57
825	269	56
826	269	56
827	269	56
828	270	55
829	270	55
830	270	55
831	270	54
832	271	54
833	271	54
834	271	53
835	271	53
836	272	52
837	272	52
838	272	52
839	272	51
840	272	51
841	273	51
842	273	50
843	273	50
844	273	50
845	273	49
846	274	49
847	274	49
848	274	48
849	275	48
850	275	48
851	275	47
852	275	47
853	275	47
854	276	46
855	276	46
856	276	46
857	276	45
858	277	45
859	277	45
860	277	44
861	277	44
862	277	44
863	278	43
864	278	43
865	278	43
866	278	42
867	278	42
868	279	42
869	279	41
870	279	41
871	279	41
872	279	40
873	280	40
874	280	40
875	280	39
876	280	39
877	280	39
878	281	38
879	281	38
880	281	38
881	281	37
882	282	37
883	282	37
884	282	36
885	283	36
886	283	36
887	283	35
888	283	35
889	284	35
890	284	34
891	284	34
892	284	34
893	285	33
894	285	33
895	286	33
896	286	32
897	286	32
898	286	32
899	286	31
900	287	31
901	287	31
902	287	30
903	287	30
904	287	30
905	288	29
906	288	29
907	288	29
908	288	28
909	289	28
910	289	28
911	289	27
912	289	27
913	290	27
914	290	26
915	290	26
916	290	26
917	291	25
918	291	25
919	291	25
920	291	25
921	291	24
922	292	24
923	292	24
924	292	23
925	292	23
926	292	23
927	293	22
928	293	22
929	293	22
930	293	21
931	293	21
932	294	21
933	294	20
934	294	20
935	294	20
936	294	19
937	295	19
938	295	19
939	295	18
940	295	18
941	295	18
942	296	17
943	296	17
944	296	17
945	296	16
946	297	16
947	297	16
948	297	15
949	297	15
950	297	15
951	298	15
952	298	14
953	298	14
954	299	14
955	299	13
956	299	13
957	299	13
958	299	12
959	300	12
960	300	12
961	300	11
962	300	11
963	301	11
964	301	10
965	301	10
966	301	10
967	302	9
968	302	9
969	302	9
970	302	9
971	302	8
972	303	8
973	303	8
974	303	7
975	303	7
976	303	7
977	304	6
978	304	6
979	304	6
980	305	5
981	305	5
982	305	5
983	305	4
984	305	4
985	306	4
986	306	4
987	306	3
988	306	3
989	306	3
990	307	2
991	307	2
992	307	2
993	307	1
994	308	1
995	308	1
996	308	0
997	308	0
998	308	0
999	309	0
